"","ActualEOD","ActualNTE","AvailableBudget","CountryName","DonorandFundingSource","Donor","FinancialsProjectFundingInstitution","FundingSource","GeographicalCoverage","LTODepartment","LTODivision","LTOUnit","LTUHQDecentralizedOffices","MajorProgrammeActivity","OriginalBudget","ProjectClassification","ProjectObjectives","ProjectStaffBudgetHolder","ProjectStaffLTOOfficer","ProjectStaffLTUOfficer","ProjectStaffProgrammeAssistance","ProjectStatuscode","ProjectStatus","ProjectSymbol","ProjectTitle","StrategicFrameworkOrganizationResult","StrategicFrameworkStrategicObjective","StrategicFrameworkUnitResult","TotalBudgetFPMIS","TotalBudgetDWH","staff"
"37",NA,NA,"$237,194 ","Morocco","FAO","FAO",NA,"OT","Country","ES","ESS","ESS","FAO HQ Organization","","$245,000 ","Assistance to Member Countries","Le RGA permettra l'établissement d'une véritable cartographie des régions rurales qui embrasserait les domaines les plus divers concernant les espaces ruraux et le secteur de l?agriculture et permettra aux agriculteurs, aux organisations professionnelles, aux associations et opérateurs privés et publics du secteur agricole de mieux définir leurs actions de développement, de stimuler la croissance et de se placer au mieux, tant sur le marché national que sur le marché international. De même, les acteurs des différentes filières de production utiliseront les données statistiques pour mieux définir leur stratégie et améliorer leur compétitivité","Hage, M.","Georgieva-Mihaylova, M.","Castano, J.","Laiti, A.; Elhata, M.","OA","Operationally Active","TCP/MOR/3503","Appui à la préparation du Recensement Général de l?Agriculture (RGA).","204","2","20403","$245,000 ","$245,000 ","Hage, M. Georgieva-Mihaylova, M. Castano, J. Laiti, A.; Elhata, M."
"38",NA,NA,"$103,206 ","Namibia, Republic of","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$478,000 ","Assistance to Member Countries","Specific Objective/Outcome: the specific objective of this project is to strengthen the capacity of national statistics system and ensure timely and effective preparation of the Census by selecting, defining, documenting and testing techniques, equipment, methodology and administrative processes.","Ahmadu, B.","Ouedraogo, E.","Chin, N.","","OA","Operationally Active","TCP/NAM/3402","Preparatory Assistance to the 2013/2014 Census of Agriculture","201","2","","$478,000 ","$478,000 ","Ahmadu, B. Ouedraogo, E. Chin, N. "
"39",NA,NA,"$0 ","Pakistan","FAO","FAO",NA,"OT","Country","RO","RAP","RAPE","FAO Decentralized offices","","$50,165 ","Assistance to Member Countries","The topography of the AJ&K is mainly hilly and mountainous with valleys and steep stretches of plains. Its population is predominantly rural (88%) whose livelihoods depend heavily on the agriculture sector including forestry and livestock and as well as some non-farm labor, particularly arts and crafts and tourism related jobs. The area under cultivation is around 166,433 hectares, which is almost 13% of the total geographical area of 13, 297 square kilimetres. About 92% of the cultivable area is rain fed More than 84% households have very small land holdings between one to two acres. The major crops are maize, wheat and rice while the minor crops are grams pulses (red kidney beans), barley, millet, etc.?The main source of diet of AJ&K people is wheat and wheat products. The percentage of wheat and wheat products in daily intake of flour is 60 percent in urban areas and 80 percent in rural areas.The flour supply comes from two main sources: a) provided by the Pakistan Food Department at subsidized price and b) imported by private dealers. The price of wheat flour in the private market is linked with the price fluctuation in Punjab. Wheat shortage or price increases in Pakistan affects the wheat availability and access in AJ&K territory. However, the Food Department provides the wheat flour throughout the year to the AJ&K state at the same rates.","Evans, P.","Srivastava, M.","Ramasawmy, S.","","OA","Operationally Active","TCP/PAK/3501 BABY01","Capacity building of Food department in Azad Jammu and Kashmir (AJ&K) to improve its food stock information management system","101","1","10103","$50,165 ","$0 ","Evans, P. Srivastava, M. Ramasawmy, S. "
"40",NA,NA,"$26,614 ","Peru, Republic of","FAO","FAO",NA,"OT","Country","ES","ESS","ESSS","FAO HQ Organization","","$355,000 ","Assistance to Member Countries","Proveer apoyo metodológico para conducir el IV CENAGRO. El Censo será la base para la actualización y extensión del sistema actual de producción de estadísticas sectoriales a fin de contribuir al mejoramiento de las mismas y, en consecuencia, a un proceso de toma de decisiones más eficaz al contar con información actualizada y confiable","Preissing, J.","Boero, V.","","Campbell Gonzalez, M.","OA","Operationally Active","TCP/PER/3402","Asistencia Técnica para la Preparación y Realización del IV Censo Nacional Agropecuario","204","2","20401","$264,000 ","$264,000 ","Preissing, J. Boero, V.  Campbell Gonzalez, M."
"41",NA,NA,"$46,323 ","Philippines","FAO","FAO",NA,"OT","Country","RO","RAP","RAPE","FAO Decentralized offices","","$366,000 ","Assistance to Member Countries","Planning and policy making on food security is supported by a one-stop-shop web-based information system with the functionality to store retrieve, analyze and share selected statistical data/indicators and other information related to food security in the Philippines at the national and sub-national levels.","Fernandez, J.","Srivastava, M.","","","AC","Activities Completed","TCP/PHI/3401","Establishment of the Philippine Food Security Information System (PHIL-FSIS)","103","1","","$366,000 ","$366,000 ","Fernandez, J. Srivastava, M.  "
"42",NA,NA,"$117,572 ","Regional Asia & Pacific","FAO","FAO",NA,"OT","Regional","RO","RAP","RAPTE","FAO Decentralized offices","","$450,000 ","Assistance to Member Countries","The outcome of the project is to contribute to ongoing global efforts to support member country's national statistical system in improving their food and nutrition security information to support better informed decisions on food related policies, programmes and resource allocation.","Liao, C.","Srivastava, M.","Ramasawmy, S.","","OA","Operationally Active","TCP/RAS/3409","Building statistical capacity for quality food security and nutrition information in support of better informed policies","103","1","10301","$450,000 ","$450,000 ","Liao, C. Srivastava, M. Ramasawmy, S. "
"43",NA,NA,"$0 ","Rwanda","FAO","FAO",NA,"OT","Country","n.a.","n.a.","n.a.","FAO HQ Organization","","$68,681 ","Assistance to Member Countries","To train the involved staff in NISR, MINAGRI, the Rwanda Agricultural Board (RAB) and the National Bank of Rwanda (NBR) on the use of FAO methodology for the preparation of the Supply and Utilization Accounts necessary for the calculation of the Food Balance Sheet (FBS); 
To assist the NISR in developing a system that allows the NISR to regularly generate national FBS after a provided hands-on training.","Maiga, A.","","Tayyib, S.","","OA","Operationally Active","TCP/RWA/3501 BABY03","Technical support to NISR for the establishment of a Food Balance Sheet system in Rwanda","103","1","","$68,681 ","$0 ","Maiga, A.  Tayyib, S. "
"44",NA,NA,"$98,014 ","Samoa","FAO","FAO",NA,"OT","Country","SO","SAP","SAP","FAO Decentralized offices","","$351,000 ","Assistance to Member Countries","To strengthen policy, legal, regulatory and strategic planning framework for the achievement of self-reliance in food and nutritional security.","Wall, G.","Martyn, M.","Castano, J.","","OA","Operationally Active","TCP/SAM/3502","Improving the capacity for evidence-based policy monitoring and development","103, 204","1, 2","10301, 20403","$351,000 ","$351,000 ","Wall, G. Martyn, M. Castano, J. "
"45",NA,NA,"$106,425 ","Senegal, Republic of","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$377,000 ","Assistance to Member Countries","L'objectif de l'assistance est d'aider le Gouvernement du Sénégal à préparer dans les meilleures conditions le RNA2 dont les résultats vont aider à définir des politiques et stratégies plus efficaces en vue de contribuer à la réduction de la pauvreté et de l'insécurité alimentaire. Il s'agira essentiellement :

a) contribuer à la préparation d'un programme intégré de statistiques agricoles et alimentaires ;
b) assurer la préparation technique et administrative du RNA2 et la formulation du projet principal de RNA2;
 c) contribuer au renforcement des capacités techniques et opérationnelles du Service de statistiques agricoles du Ministère de l?'Agriculture.","Martin, V.","Ouedraogo, E.","Castano, J.","","OA","Operationally Active","TCP/SEN/3404","Assistance préparatoire au Recensement National de l`Agriculture II","602","6","","$377,000 ","$377,000 ","Martin, V. Ouedraogo, E. Castano, J. "
"46",NA,NA,"$265 ","Sierra Leone","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$485,000 ","Assistance to Member Countries","1) Increased capacity of MAFFS staff in policy formulation, anayasis and monitoring, as well as associated data collection and analysis. TCP expert inputs primary means of working. Beneficiaries will be primarily MAFFS staff but for the overall benefit of ag sector.

2) Create systematic and sustainable policy interface between MAFFS and various stakeholders, especially farmers, other private sector actors, relevant NGOs and civil society, and donors","Rugalema, G.","","Ouedraogo, E.","","OA","Operationally Active","TCP/SIL/3401","Strengthening Statistical Data Collection, Analysis and Planning Capacity of the Planning Evaluation Monitoring and Statistics Division of the Ministry of Agriculture Forestry and Food Security (Strengthening PEMSD)","","","","$485,000 ","$485,000 ","Rugalema, G.  Ouedraogo, E. "
"47",NA,NA,"$92,801 ","Sudan, The Republic of","FAO","FAO",NA,"OT","Country","RO","RNE","RNE","FAO Decentralized offices","","$398,000 ","Assistance to Member Countries","The project aims at establishing a flow of reliable and timely data and information on food, agriculture and livestock in support of the national agricultural development strategy and for the effective planning and monitoring of the agriculture sector and for food security planning. The immediate objective of the assistance is to support the preparations for the Agricultural Census to ensure it is methodologically sound and in line with FAO recommendations for the Programme for the World Census of Agriculture of 2010.","Jama, A.","Barre, M.","Barre, M.","","OA","Operationally Active","TCP/SUD/3402","Technical Support for Comprehensive Agricultural Census in the Sudan","103","1","","$398,000 ","$398,000 ","Jama, A. Barre, M. Barre, M. "
"48",NA,NA,"$142,796 ","Timor-Leste, Democratic Republic of","FAO","FAO",NA,"OT","Country","RO","RAP","RAPTE","FAO Decentralized offices","","$331,000 ","Assistance to Member Countries","The TCP will result in a sustainable and government-owned National Information and Early Warning System (NIEWS) on Food Security, operating at both district and national levels. The TCP will complement the trust fund project GCP/TIM/005/EC in feeding analysed information for decision making and policy formulation in achieving a higher level of national and household food and nutrition security. The TCP support will focus of enhancing the skills and capacity in gathering food security data as well as building government expertise to plan and conduct crop monitoring, crop cutting surveys, harvesting forecasting, yield and area measurement that will be transferred on a gradual basis to the MAF staff including women staff.

The TCP support will subsequently contribute to the FAO Strategic Objective H. Improved food security and better nutrition and I to ? improve the preparedness for food and agricultural threats and Emergencies?. It will also contribute to RAP Regional Priority A: Strengthening food and nutrition security.","Fuavao, V.","Srivastava, M.","","","OA","Operationally Active","TCP/TIM/3402","Establishing a sustainable National Information and Early Warning System  (NIEWS) on Food Security in Timor-Leste","103","1","10301, 10302","$331,000 ","$331,000 ","Fuavao, V. Srivastava, M.  "
"49",NA,NA,"$0 ","Timor-Leste, Democratic Republic of","FAO","FAO",NA,"OT","Country","RO","RAP","RAPTE","FAO Decentralized offices","","$61,651 ","Assistance to Member Countries","The objective of this TCPF is to provide technical assistance to the Government of Timor-Leste to have a clear vision of the Scope, Coverage and a feasible Methodology of the first agriculture census of the country, and support the efforts of the Government in taking initial steps towards a census and mobilize funding for it, keeping in view the design of the planned Population Census 2015 and proposed Agricultural Census in 2016.","Fuavao, V.","Srivastava, M.","Castano, J.","","OA","Operationally Active","TCP/TIM/3502 BABY03","Initial Support to Planning of the First Agricultural Census","204","2","20402","$61,651 ","$0 ","Fuavao, V. Srivastava, M. Castano, J. "
"50",NA,NA,"$123,301 ","Tonga","FAO","FAO",NA,"OT","Country","RO","RAP","RAPE","FAO Decentralized offices","","$346,000 ","Assistance to Member Countries","Enhanced availability/accessibility to the census data for development planning and policy formulations by the Government, development partners and donors and all the stakeholders in the agriculture and related sectors.","Wall, G.","","Srivastava, M.","","OA","Operationally Active","TCP/TON/3403","National Agriculture Census","204","2","20403","$346,000 ","$346,000 ","Wall, G.  Srivastava, M. "
"51",NA,NA,"$0 ","Trinidad and Tobago","FAO","FAO",NA,"OT","Country","RO","RLC","RLCE","FAO Decentralized offices","","$57,627 ","Assistance to Member Countries","To design and cost a plan for establishing a structure -a Division within the Ministry of Food Production, Land and Marine Affairs- for the management of National Agriculture Data and Information (NADI).","Fletcher Paul, L.","","Boero, V.","","OA","Operationally Active","TCP/TRI/3401 BABY01","Agricultural Statistics and Information Institutional Plan","102","1","10201","$57,627 ","$0 ","Fletcher Paul, L.  Boero, V. "
"52",NA,NA,"$383,557 ","Tunisia","FAO","FAO",NA,"OT","Country","RO","RNE","RNETD","FAO Decentralized offices","","$401,000 ","Assistance to Member Countries","Le présent projet vise à renforcer le système national de statistiques agricoles par la préparation du Recensement Général de l?Agriculture tant au niveau des instruments méthodologiques, qu?au niveau du renforcement des capacités humaines et logistiques.","Thiombiano, L.","Georgieva-Mihaylova, M.","Castano, J.","","OA","Operationally Active","TCP/TUN/3503","Assistance preparatoire au recensement de l`agriculture.","204","2","","$401,000 ","$401,000 ","Thiombiano, L. Georgieva-Mihaylova, M. Castano, J. "
"53",NA,NA,"$366,000 ","Tanzania, United Republic Of","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$366,000 ","Assistance to Member Countries","Enabling the Agricultural Statistics System (ASS) to sustain optimum capacity to assess and satisfy user needs","Sagnia, S.","Ouedraogo, E.","Fabi, C.","","OA","Operationally Active","TCP/URT/3504","Support to the Implementation of Agriculture Statistics Strategic Plan: Improving the reliability of Crop forecasting data","103, 204","1, 2","","$366,000 ","$366,000 ","Sagnia, S. Ouedraogo, E. Fabi, C. "
"54",NA,NA,"$123,000 ","Tanzania, United Republic Of","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$123,000 ","Assistance to Member Countries","Assess users? requirements and facilitate validation by national stakeholders (one mission)
Analyse available survey and other relevant data (Annual Agricultural Survey, ARDS, Agricultural Census other sources of auxiliary data), develop a SAR methodological proposal and software routines (desk work)
Organise and conduct the test of the method in one region including training of field staff; analyse results; facilitate the expert validation meeting (one mission)
Prepare operational manuals for large scale implementation of SAE methods in Zanzibar, train field staff, coordinate field operations, analyse the data and prepare report to be disseminated and discussed in a dissemination workshop (two missions)
Prepare training material and formally train data producers on theory and practice of small area estimates including use of software routines (one mission)
Prepare training material and deliver a training course for data users at local government level on analysis and use of statistics for development and monitoring of policies.","Otto, P.","Ouedraogo, E.","Fabi, C.","","OA","Operationally Active","TCP/URT/3505","Support to the Implementation of Agriculture Statistics Strategic Plan: Improving district level data using Small Area Estimates methods- ZANZIBAR","103, 204","1, 2","","$123,000 ","$123,000 ","Otto, P. Ouedraogo, E. Fabi, C. "
"55",NA,NA,"$566,189 ","Global","Belgium; Multilateral","Multilateral: Belgium (100%); Multilateral (0%)",NA,"TF","Global","ES","ESS","ESS","FAO HQ Organization","","$1,000,000 ","Assistance to Member Countries","Testing, validating and applying the FAO FIES in several countries in Sub Saharan Africa, starting with the four focus countries of the Renewed Partnership for Ending Hunger in Africa by 2015","Gennari, P.","","Cafiero, C.","","OA","Operationally Active","FMM/GLO/106/MUL","FMM support to SO 1 - OO3 (MTP 2014-2017) Voices of the Hungry","103","1","10301, 10302","$1,800,000 ","$1,800,000 ","Gennari, P.  Cafiero, C. "
"56",NA,NA,"($6,029)","Global","UK","UK",NA,"TF","Global","ES","ESS","ESS","FAO HQ Organization","","$4,844,425 ","Assistance to Member Countries","VoH-Voices of the Hungry - 2","Gennari, P.","","Cafiero, C.","","OA","Operationally Active","GCP /GLO/450/UK","VoH-Voices of the Hungry - 2 (203728-101)","103","1","10301, 10302","$4,844,426 ","$4,844,426 ","Gennari, P.  Cafiero, C. "
"57",NA,NA,"$154,339 ","Ethiopia, Federal Democratic Republic of","BMG","BMG",NA,"TF","Country","ES","ESS","ESSS","FAO HQ Organization","","$997,295 ","Assistance to Member Countries","To increase food security and economic development in Ethiopia by improving national agricultural statistics through the implementation of remote sensing and other geospatial technologies in improved agriculture sampling","Allahoury, A.","Ouedraogo, E.","","","OA","Operationally Active","MTF /ETH/078/BMG","Support for the Improvement of the Agricultural Statistics in Ethiopia","","","","$997,295 ","$997,295 ","Allahoury, A. Ouedraogo, E.  "
"58",NA,NA,"$5,606,374 ","Global","BMG","BMG",NA,"TF","Global","ES","ESS","ESS","FAO HQ Organization","","$5,637,513 ","Assistance to Member Countries","Support the globally accessible and transparaent AMIS platform and build the capacity of Bangladesh, India, Nigeria and other countries to produce, disseminate and analyze quality agriculture market statistics using digital technologies.","Duhamel, M.","Dubey, M.","","","OA","Operationally Active","MTF /GLO/359/BMG","Strengthening Agricultural Market Information Systems (AMIS) globally and in selected countries (Bangladesh/India/Nigeria) using innovative methods and digital technology","403","4","40301","$7,977,422 ","$7,977,422 ","Duhamel, M. Dubey, M.  "
"59",NA,NA,"$884,374 ","Global","BMG","BMG",NA,"TF","Global","RO","RAP","RAP","FAO Decentralized offices","","$884,374 ","Assistance to Member Countries","The Project supports national efforts to produce quality statistics and data on crop production forecasts, market food prices and stocks for the four AMIS commodities (maize, rice, soybeans and wheat), by incorporating international best practices and experiences. Accordingly, the logical framework of the BMGF-AMIS baby project for India is structured upon four areas of intervention, with well-defined outcomes and activities.","Khadka, S.","Srivastava, M.","Fonteneau, F.","","OA","Operationally Active","MTF /GLO/359/BMG BABY01","Strengthening Agricultural Market Information Systems in India using innovative methods and digital technology (Baby Project)","","","","$884,374 ","$884,374 ","Khadka, S. Srivastava, M. Fonteneau, F. "
"60",NA,NA,"$717,792 ","Global","BMG","BMG",NA,"TF","Global","RO","RAP","RAP","FAO Decentralized offices","","$846,935 ","Assistance to Member Countries","The baby project aims at enhancing the institutional, methodological and human resource capacity in Bangladesh for producing data and information data on production, crop forecasts and stocks with better quality, standardisation and timeliness with focus on rice, wheat, maize and potato.","Robson, M.","Fonteneau, F.","Srivastava, M.","","OA","Operationally Active","MTF /GLO/359/BMG BABY02","Strengthening Agriculture Market Information Systems in Bangladesh","","","","$846,935 ","$846,935 ","Robson, M. Fonteneau, F. Srivastava, M. "
"61",NA,NA,"$466,306 ","Global","BMG","BMG",NA,"TF","Global","ES","ESS","ESSDD","FAO HQ Organization","","$608,600 ","Assistance to Member Countries","AMIS project will be a multi-phased assignment with different activities covering data production process improvement, methodology fine-tuning, data management, and capacity building","Setshwaelo, L.","","Fonteneau, F.","","OA","Operationally Active","MTF /GLO/359/BMG BABY03","Strengthening Agriculture Market Information Systems in Nigeria using innovative methods and digital technology (Baby Project)","","","","$608,600 ","$608,600 ","Setshwaelo, L.  Fonteneau, F. "
"62",NA,NA,"$144,055 ","Regional Asia & Pacific","Japan","Japan",NA,"TF","Regional","ES","ESS","ESSDD","FAO HQ Organization","","$1,500,003 ","Assistance to Member Countries","The objective of this project is to strengthen the capacity of Thailand and the Philippines to deliver accurate statistics, effectively monitor rice markets and produce relevant data on food security, which is part of the Transfer of Knowledge and Capacity Building activity of the Agricultural Market Information System (AMIS).","Kassab, R.","Fonteneau, F.","Fonteneau, F.","","OA","Operationally Active","MTF /RAS/359/JPN","Strengthening Agricultural Market Information in Thailand and the Philippines - Regional Component","103","1","10301","$1,417,770 ","$1,417,770 ","Kassab, R. Fonteneau, F. Fonteneau, F. "
"63",NA,NA,"$66,667 ","Regional Asia & Pacific","Japan","Japan",NA,"TF","Regional","ES","ESS","ESSDD","FAO HQ Organization","","$436,813 ","Assistance to Member Countries","The objective of this project is to strengthen the capacity of Thailand and the Philippines to deliver accurate statistics, effectively monitor rice markets and produce relevant data on food security, which is part of the Transfer of Knowledge and Capacity Building activity of the Agricultural Market Information System (AMIS).","Duhamel, M.","","","","OA","Operationally Active","MTF /RAS/359/JPN BABY01","Strengthening Agricultural Market Information in Thailand and the Philippines - Global Component","","","","$412,572 ","$412,572 ","Duhamel, M.   "
"64",NA,NA,"$51,875 ","Chad","European Union: ECHO","European Union",NA,"TF","Country","SO","SFC","SFC","FAO Decentralized offices","","$366,847 ","Assistance to Member Countries","1- Assurer la sécurité alimentaire des populations affectées et des ménages vulnérables affectés par les crises et chocs récurrents au Tchad. 2- Assurer et améliorer les fonctions du cluster Sécurité Alimentaire et l'action de ses membres pour la réponse aux besoins des populations affectées et vulnérables.","N'Diaye, M.","Sagnia, S.","","","AC","Activities Completed","OSRO/CHD/403/EC","Appui à l`amélioration de l?impact des interventions humanitaires dans le secteur de la sécurité alimentaire au Tchad par l`animation efficace du groupe sectoriel et le renforcement de capacités d?action des membres.","503","5","","$366,847 ","$366,847 ","N'Diaye, M. Sagnia, S.  "
"65",NA,NA,"$1,300,722 ","South Sudan, The Republic of","World Food Programme Administered Trust Fund","World Food Programme Administered Trust Fund",NA,"TF","Country","ES","ESS","ESS","FAO HQ Organization","","$1,830,540 ","Assistance to Member Countries","Enhancing the capacity of the National Bureau of Statistics at the National level and of MAFCRD?s at the National, State, County, and Payam levels in the areas of rainfall monitoring, production of crop production estimates, and compilation of national food balance sheets.","Serge, T.","","Ouedraogo, E.","","OA","Operationally Active","OSRO/SSD/301/WFP","Partnership to Stregthen the GRSS Institutional Capacity on Food Security Information Systems: A Component of the National Strategic Food Reserve","504","5","50403","$1,830,540 ","$1,830,540 ","Serge, T.  Ouedraogo, E. "
"66",NA,NA,"$2,588,263 ","Chad","European Union: DCI","European Union",NA,"TF","Country","ES","ESS","ESS","FAO HQ Organization","","$4,513,817 ","Assistance to Member Countries","Objectif (s) global : Réduire l'insécurité alimentaire et nutritionnelle des ménages du Tchad.     
Objectifs spécifiques : - Disposer d'une information fiable et disponible en temps réel et de manière pérenne pour une bonne gouvernance de la sécurité alimentaire et nutritionnelle;
- Réduire l?effet négatif des chocs agro-climatiques et socio-économiques sur les ménages grâce à une alerte et des réponses opportunes et appropriées.","N'Diaye, M.","","Amegbeto, K.","","OA","Operationally Active","GCP /CHD/038/EC","Appui à la mise en place d`un Système d`Information durable sur la sécurité alimentaire et d`alerte précoce","502","5","50201","$4,966,574 ","$4,966,574 ","N'Diaye, M.  Amegbeto, K. "
"67",NA,NA,"$317,406 ","Cambodia , Kingdom of","Australia; Sweden; USA","Multilateral: Australia (24%); USA (38%); Sweden (38%)",NA,"TF","Country","RO","RAP","RAPE","FAO Decentralized offices","","$3,750,000 ","Assistance to Member Countries","The project will contribute to poverty reduction and food security for the population of Cambodia by allowing the Government and its development partners to design and implement more effective agriculture and rural development policies and programmes based on reliable and well-structured statistical information on the agricultural sector. A solid statistical base line will also contribute to effective monitoring of agricultural development projects and achievements towards the CMDGs. 
The outcome of the project is the first methodologically sound and comprehensive census of agriculture of Cambodia. The project will result in internationally comparable reliable and up-to-date data on agriculture for planning and evaluation process at lowest administrative level. The census will establish a database that will serve as the foundation for a sound system for collection of reliable agriculture statistics periodically. The decision makers (Government, Development Partners, NGOs) and other users will be able to access and use detailed, reliable and up-to-date structural data on the agriculture sector for their interventions.","Brandstrup, N.","Srivastava, M.","","","OA","Operationally Active","GCP /CMB/040/MUL","First National Census of Agriculture","103","1","10301","$3,750,000 ","$3,750,000 ","Brandstrup, N. Srivastava, M.  "
"68",NA,NA,"$314,963 ","Cambodia , Kingdom of","USA","USA",NA,"TF","Country","RO","RAP","RAPE","FAO Decentralized offices","","$1,500,000 ","Assistance to Member Countries","First Agriculture Census in Cambodia","Brandstrup, N.","","","","OA","Operationally Active","GCP /CMB/040/MUL BABY01","Agricultural Census (USAID Contribution)","","","","$1,500,000 ","$1,500,000 ","Brandstrup, N.   "
"69",NA,NA,"$93,319 ","Dominican Republic","European Union: EDF","European Union",NA,"TF","Country","RO","RLC","RLC","FAO Decentralized offices","","$635,324 ","Assistance to Member Countries","Mejorar el sistema de información agropecuaria a nivel nacional a fin de facilitar la planificación de políticas y la aplicación de medidas concretas que contribuyan a mejorar la competitividad de los productores y el abastecimiento de la demanda de productos agrícolas tanto a nivel local como internacional.","Gallardo, C.","Boero, V.","Castano, J.","","OA","Operationally Active","GCP /DOM/018/EC","Asistencia técnica para apoyar las actividades del  VIII Censo Nacional Agropecuario de la República Dominicana","103, 203","1, 2","10302, 20302","$635,324 ","$635,324 ","Gallardo, C. Boero, V. Castano, J. "
"70",NA,NA,"$507,986 ","Global","Italy: MOFA - 2","Italy",NA,"TF","Global","ES","ESS","ESSDD","FAO HQ Organization","","$1,001,877 ","Assistance to Member Countries","The project objective is to develop the capacity of countries of the Sahel Region (with special emphasis on Burkina Faso, Chad, Mali, Mauritania and Niger) to compile and analyze relevant data for conducting food security assessments according to internationally established methodologies.","Gennari, P.","","Conforti, P.","","OA","Operationally Active","GCP /GLO/540/ITA","Strengthening the Capacity to Monitor Food Insecurity in the Sahel","102","1","10201","$1,001,877 ","$1,001,877 ","Gennari, P.  Conforti, P. "
"71",NA,NA,"$1,632,039 ","Inter Regional","Japan","Japan",NA,"TF","Interregional","RO","RAF","RAF","FAO Decentralized offices","","$2,500,000 ","Assistance to Member Countries","The main objective of the project is to improve capacity of CARD countries for timely collection and provision of reliable statistics on rice production and yield, particularly at field level through SSC.","Kim, M.","","Fonteneau, F.; Duhamel, M.","","OA","Operationally Active","GCP /INT/161/JPN","Strengthening Agricultural Statistics and Food Security Information in CARD Countries through South-South Cooperation","103, 204","1, 2",", 20403","$2,146,647 ","$2,146,647 ","Kim, M.  Fonteneau, F.; Duhamel, M. "
"72",NA,NA,"$5,122,271 ","Côte d'Ivoire, République de la","European Union: EDF","European Union",NA,"TF","not specified","RO","RAF","RAF","FAO Decentralized offices","","$6,916,113 ","Assistance to Member Countries","Ce projet contribuera au renforcement des capacités techniques et opérationnelles de la Direction des Statistiques, de la Documentation et de l'Informatique (DSDI) du Ministère de l'Agriculture. Il aidera le Gouvernement à réorganiser le monde rural, à redéfinir et à mieux piloter sa politique agricole et de sécurité alimentaire sur la base de données statistiques réelles sur les structures de l'agriculture de la Côte d?Ivoire et contribuera ainsi à formuler des politiques et stratégies adaptées de lutte contre la pauvreté et l'insécurité alimentaire dans le pays.","Dasylva, G.","Ouedraogo, E.","Keita, N.","","OA","Operationally Active","GCP /IVC/033/EC","APPUI ET ASSISTANCE TECHNIQUE DE LA FAO A LA MISE EN ?UVRE DU RECENSEMENT DES EXPLOITANTS ET DES EXPLOITATIONS AGRICOLES (REEA)","202","2","","$6,916,113 ","$6,916,113 ","Dasylva, G. Ouedraogo, E. Keita, N. "
"73",NA,NA,"$605,570 ","Lebanon","European Union: ENPI","European Union",NA,"TF","Country","RO","RNE","RNE","FAO Decentralized offices","","$647,999 ","Assistance to Member Countries","The project will focus on generating, analysing and disseminating data related to the Ministry of Agriculture for use by all, including the Central Administration of Statistics Office for national account calculations.","Saade, M.","Barre, M.","","","OA","Operationally Active","GCP /LEB/023/EC","Support to the MoA in strengthening and modernizing the Agricultural Statistics System","204","2","20401, 20403, 20402","$870,329 ","$870,329 ","Saade, M. Barre, M.  "
"74",NA,NA,"$87,633 ","Moldova, Republic of","Romania","Romania",NA,"TF","Country","ES","ESS","ESS","FAO HQ Organization","","$694,444 ","Assistance to Member Countries","To provide the Government of the Republic of Moldova an updated benchmark agriculture data at the lowest administrative level that will be useful for the formulation of policies for agricultural, rural development and improvement of food security of the population","Boedeker, G.","","Kvinikadze, G.","Kulzhanova, M.","OA","Operationally Active","GCP /MOL/003/ROM","Assistance to the general agricultural census of Moldova","204","2","20401, 20403","$686,810 ","$686,810 ","Boedeker, G.  Kvinikadze, G. Kulzhanova, M."
"75",NA,NA,"$194,354 ","SEC - Subregional Office for Central Asia, Ankara","Turkey","Turkey",NA,"TF","Sub Regional","RO","REU","REU","FAO Decentralized offices","","$330,000 ","Assistance to Member Countries","The overall objective of the project is to assist Central Asian beneficiary countries in developing sex-disaggregated data sets on the agricultural and rural sector to assess the current status of rural population and to ensure evidence-based and informed policy making processes.","Shoji, Y.","Kvinikadze, G.","Cafiero, C.","Inceisci, S.","OA","Operationally Active","GCP /SEC/008/TUR","Strengthening national capacities for production and analysis of sex-disaggregated data through the implementation of the FAO Gender and Agriculture Framework (GASF)","301","3","30105","$330,000 ","$330,000 ","Shoji, Y. Kvinikadze, G. Cafiero, C. Inceisci, S."
